config_id,display_name,plot_stage,hardware,gpus,method,transport,transport_key,comparison_basis,runtime_hours,runtime_status,runtime_source,evidence,currency,hourly_rental_rate,rental_cost,energy_cost,capital_cost,total_cost,cost_basis,effective_usd_per_hour,notes
rtx3090_desktop_estimate,1xRTX 3090 desktop,1,RTX 3090,1,single,single,,time_to_3.28,21.223238,measured_full_convergence,cost_inputs.csv,Measured convergence,USD,,0.0,3.9050757920000003,0.0,3.9050757920000003,wall power (owned hardware),0.18400000000000002,"Direct convergence run on aurora (out/ref-1gpu-10k.log, 2026-08-24): a clean 10000-step trapezoid crossed 3.28 at step 9999 at val 3.267835, after 76403.66 training seconds (7.6333 s/step, 66.6% MFU). Ran as the K=2 DiLoCo arm's single-GPU reference and is a convergence bar for free. Supersedes the 21.299 h extrapolation from Trackio run distrain/3090-fineweb-3B-modded, which it confirms to 0.36%. Owned hardware: costed from wall power and electricity, not a rental rate (RunPod secure 1xRTX 3090 was $0.50/h, priced 2026-08-24, for reference only)."
a100x1,1xA100,1,A100-SXM4-40GB,1,single,single,,time_to_3.28,7.19111,extrapolated_from_measured_step_time,cost_inputs.csv,Measured step time,USD,1.99,14.3103089,0.0,0.0,14.3103089,rental,1.99,"Measured 2589.058 ms/step at global batch 480; runtime uses the independently measured step-9999 crossing. Rate: Prime Intellect / lambdalabs gpu_1x_a100_sxm4 on-demand $1.99/h (us-east-1 and asia-south-1, same price; priced 2026-08-24). RunPod lists no secure A100-SXM4-40GB (secureCloud false, max 2 GPUs/host), so PI is the only quote."
a100x8_nvlink,8xA100 NVLink,2,A100-SXM4-40GB,8,ddp_interleaved,NVLink NV12,NVLink NV12,time_to_3.28,0.93817,extrapolated_from_measured_step_time,cost_inputs.csv,Measured step time,USD,15.92,14.935666399999999,0.0,0.0,14.935666399999999,rental,15.92,"Matched-micro-batch arm at global batch 480; 337.775 ms/step. Rate: Prime Intellect / lambdalabs gpu_8x_a100 on-demand $15.92/h (me-west-1, europe-central-1, us-west-2, same price; priced 2026-08-24) -- the box this arm ran on. RunPod has no secure A100-SXM4-40GB, so PI is the only quote."
a100x8_forced_tcp_interleaved,8xA100 forced TCP/loopback,3,A100-SXM4-40GB,8,ddp_interleaved,forced TCP/loopback,,time_to_3.28,3.384175,extrapolated_from_measured_step_time,cost_inputs.csv,Measured step time,USD,15.92,53.876066,0.0,0.0,53.876066,rental,15.92,"Same NVLink host with NCCL P2P and SHM disabled; 1218.425 ms/step. This is not an A100 PCIe fabric measurement. Rate: same 8xA100-SXM4-40GB host as a100x8_nvlink, PI/lambdalabs $15.92/h (priced 2026-08-24)."
a100x8_forced_tcp_torch,8xA100 forced TCP/loopback (PyTorch DDP),3,A100-SXM4-40GB,8,ddp_torch,forced TCP/loopback,Forced TCP/loopback,time_to_3.28,3.528305,extrapolated_from_measured_step_time,cost_inputs.csv,Measured step time,USD,15.92,56.1706156,0.0,0.0,56.1706156,rental,15.92,"Same NVLink host with NCCL P2P and SHM disabled; 1270.317 ms/step. Used by the transport curve. Rate: same 8xA100-SXM4-40GB host as a100x8_nvlink, PI/lambdalabs $15.92/h (priced 2026-08-24)."
a100x8_netem40,8xA100 netem nominal 40 Gbit/s,3,A100-SXM4-80GB,8,ddp_torch,forced TCP/loopback + netem 40 Gbit/s,netem nominal 40 Gbit/s,time_to_3.28,6.049298,extrapolated_from_reconstructed_step_time,cost_inputs.csv,Reconstructed step time,USD,17.56,106.22567287999999,0.0,0.0,106.22567287999999,rental,17.56,Reconstructed upper-bound runtime; nominal 40 Gbit/s delivered 0.614 GB/s effective all-reduce bus bandwidth. Rate: mean of RunPod secure 8x$1.59=$12.72/h and PI/vultr SXM4 $22.40/h (priced 2026-08-24).
a100x8_netem10,8xA100 netem nominal 10 Gbit/s,3,A100-SXM4-80GB,8,ddp_torch,forced TCP/loopback + netem 10 Gbit/s,netem nominal 10 Gbit/s,time_to_3.28,21.096164,extrapolated_from_reconstructed_step_time,cost_inputs.csv,Reconstructed step time,USD,17.56,370.44863984,0.0,0.0,370.44863984,rental,17.56,Reconstructed upper-bound runtime; nominal 10 Gbit/s delivered 0.156 GB/s effective all-reduce bus bandwidth. Rate: mean of RunPod secure 8x$1.59=$12.72/h and PI/vultr SXM4 $22.40/h (priced 2026-08-24).
a100x8_pcie,8xA100 PCIe,3,A100 PCIe,8,DDP,PCIe P2P,"A100 PCIe (P2P off, SHM)",time_to_3.28,2.292935773771768,extrapolated_from_reconstructed_step_time,transport.csv,Reconstructed step time,USD,11.12,25.497445804342057,0.0,0.0,25.497445804342057,rental,11.12,"Requires a topology-verified A100 PCIe host. Rate: RunPod secure NVIDIA A100 80GB PCIe 8x$1.39=$11.12/h (priced 2026-08-24, listed price; no secure stock at that count when queried). PI listed no A100 PCIe offer."
ddp_equal_tokens,8xA100 DDP at 4.915B tokens,5,A100-SXM4-80GB,8,DDP,NVLink NV12,,equal_4.9147B_tokens,0.874194,measured_full_convergence,cost_inputs.csv,Measured convergence,USD,17.56,15.350846639999999,0.0,0.0,15.350846639999999,rental,17.56,"Reached validation loss 3.2730 at step 9999, so for this run the equal-token endpoint and the 3.28 crossing coincide. The DiLoCo counterpart is charged the same rate so the pair differs only by method. Rate: mean of RunPod secure 8x$1.59=$12.72/h and PI/vultr SXM4 $22.40/h (priced 2026-08-24)."
diloco_equal_tokens,8xA100 DiLoCo at 4.915B tokens,5,A100-SXM4-80GB,8,DiLoCo,NVLink NV12,,equal_4.9147B_tokens,0.902861,measured_not_converged,cost_inputs.csv,"Measured, not to target",USD,17.56,15.854239159999999,0.0,0.0,15.854239159999999,rental,17.56,Ended at validation loss 3.5183; do not label this as time to 3.28. Rate: mean of RunPod secure 8x$1.59=$12.72/h and PI/vultr SXM4 $22.40/h (priced 2026-08-24).
